test_text,true_label,A_pred,char_cosine_max,jaccard_max,bucket,nearest_train_text
LAST DAY Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry ! TnC : bit.ly/3vdC7ss,spam,unwanted,0.9752,0.92,near_dup_ge_0.9,LAST TWO DAYS Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry ! TnC : bit.ly/3vdC7ss
market reaches 24550 level now ll so we can expect something mew popping up on this weekend to keep market range bound in aug ll technicals shows market will be in range bound for aug ll so we can con,ham,legit,0.2442,0.1321,novel_lt_0.9,""" Although the current market is facing short-term downward pressure, please keep confidence in the future. The Indian stock market has experienced a bull market for more than ten years, and this tren"
Having running nose and throat pain,ham,legit,0.2296,0.1429,novel_lt_0.9,Having network issue
"Buy 1, Get 1 FREE at UNLIMITED Fashion Stores. Get extra 10% Cashback with HDFC cards Watch collection bit.ly/3in3oVe TnC",spam,unwanted,0.8463,0.64,novel_lt_0.9,"Buy 2, Get 2 FREE @ UNLIMITED Fashion Store! Get extra 10% Cashback on HDFC Credit & Debit cards Watch collection bit.ly/3in3oVe TnC"
"Thank you, Assistant, for sharing with us even during your break. I will study your content carefully",ham,legit,0.3406,0.2,novel_lt_0.9,There's a lot of content to understand carefully
Introducing Airtel Xsafe! A smart home surveillance solution with Wi-Fi-based security cameras. Order now & get FREE expert consultation and installation. i.airtel.in/SafePre1,spam,unwanted,0.4718,0.3611,novel_lt_0.9,"Want security that is customized for your home? Get Airtel Xsafe, an advanced home surveillance solution with personalized expert installation. https://i.airtel.in/XSafeHassle-Free"
DATE,ham,legit,0.3126,0.0,novel_lt_0.9,Laptop update
"Alert! Your Unlimited pack is expiring on 25/11/21. Recharge with 1)299:4GB/D+UL,28D 2)449:4GB/D+UL,56D 3)699:4GB/D+UL,84D Click bit.ly/ViRC20",spam,unwanted,0.9867,1.0,near_dup_ge_0.9,"Alert! Your Unlimited pack is expiring on 25/11/21 Recharge with 1)299:4GB/D+UL,28D 2)449:4GB/D+UL,56D 3)699:4GB/D+UL,84D Click bit.ly/ViRC20"
"Enjoy 4GB data valid till your current pack validity.Also get EXTRA 2GB on your next recharge of Rs65 for your Airtel Mobile, only on Airtel Thanks App. Click i.airtel.in/rech_now",spam,unwanted,0.734,0.7576,novel_lt_0.9,"Enjoy 3GB data valid till your current pack validity.Also get EXTRA 2GB on your next recharge of Rs58 for your Airtel Mobile, only on Airtel Thanks App. Click https://i.airtel.in/58-Pack-JN"
"Already sold it, thanks ????????",ham,legit,0.627,0.5,novel_lt_0.9,Thanks I've already sold it
"Apply for Pre-qualified credit card limit up to INR 150,000 & get Noise ColorFit Pulse 2 Max Smart Watch worth Rs. 5,999. Click http://1kx.in/AMebzI SmartCardon",spam,unwanted,0.2744,0.2821,novel_lt_0.9,Steal the deal OFFER ! Apply for Pre-Qualified Flipkart Axis Bank Credit Card & Get 5% unlimited Cashback + Rs.1000* Gift Card. http://fkrt.it/sYtvgpuuuN
"Hello! We are now on Whatsapp! For Best Offers, recharges, services & more, simply click wa.me/919654297000?text=Hi & say Hi",spam,unwanted,0.817,0.8571,novel_lt_0.9,"Hello! We are now on Whatsapp! For balance, best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance"
""" In the domestic market, after a day of significant volatility, stocks closed flat on Monday, August 12. The Sensex and Nifty ended with slight declines, while mid-cap and small-cap stocks performed ",ham,legit,0.2657,0.1402,novel_lt_0.9,""" Due to the Nifty index's repeated failure to break above the 21 EMA, the recent trend appears bearish. On the upside, 24,250 points is now the new resistance level. As long as Nifty remains below 24"
Tns yoge,ham,legit,0.6101,0.5,novel_lt_0.9,Tns
Isn't housing and service sector inflation a significant component of the CPI data?,ham,legit,0.2398,0.2105,novel_lt_0.9,This stock has the potential to make a significant profit
"SSH! Use the below link to join the Shoppers Stop SSH, LIVE at 8PM. The secret offers on top watch brands are available only till 11.59PM. Click: bit.ly/3vV7SaA",spam,unwanted,0.1875,0.1864,novel_lt_0.9,I will be available in mobile
"The S&P 500 Index closed higher on Wednesday, marking its fifth consecutive day of gains, as the latest U.S. inflation data reassured investors betting on a Federal Reserve rate cut next month.",ham,legit,0.3495,0.2045,novel_lt_0.9,The latest U.S. consumer price data released on Wednesday reinforced expectations that the Federal Reserve will start cutting interest rates in September.
"Airtel Pack on 8089XXX424 will expire soon! Recharge now to enjoy 1.5GB/day, 100 SMS/day & UL calls for 28 days in Rs239. i.airtel.in/Best-offer",spam,unwanted,0.4897,0.4054,novel_lt_0.9,"Alert for 8089XXX424 ! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day + Free 500MB/day, UL calls for 28 days at Rs299. i.airtel.in/RechargeNow"
"Weekend Deals @SMART Point store,Rs 100 OFF Tide Detergent Powder 4Kg,Rs 35 OFF Dabur Chyawanprash 1Kg,Go Cheese Slice 476g Rs 247,Click bit.ly/398cIoM T&C",spam,unwanted,0.4139,0.4474,novel_lt_0.9,"Weekend deals @SMART POINT store! B1G1 Britannia Cheese Slice Plain 480g,Save Rs 100 on Surf Excel Easy Wash Detergent Powder 4Kg,Click bit.ly/2TfjBxZ T&C"
"Hey there! Complete your Vedix Haircare Follow-up Quiz and get Ayurvedic expert feedback on your current customized regimen! Based on your feedback, any product changes will be sent to you for free. C",spam,unwanted,0.7008,0.6,novel_lt_0.9,"Complete your Vedix Follow Up Quiz right away and get feedback directly from Ayurvedic experts. Based on your feedback, any product changes will be sent to you for free. Click here https://vedix.in/3l"
It's good and I am able to work since 15mins,ham,legit,0.2764,0.2857,novel_lt_0.9,It's working now
"Biggest Diwali Offers@ VISHAL Vegetable Chopper(Mrp599) 70% OFF-Rs179 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",spam,unwanted,0.6101,0.6071,novel_lt_0.9,"Biggest Diwali Offers@ VISHAL MEGA MART Cooker 3L(Mrp 1149) 50% OFF-Rs575 ONLY TODAY! + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC"
Then local admin should help you please someone help Jerold opening an it ticket,ham,legit,0.391,0.1765,novel_lt_0.9,I will create a ticket for you Jerold
Done kk,ham,legit,0.8321,0.5,novel_lt_0.9,Done
Team every time in spite of multiple reminders no one bothers to join thsts gives a very negative impact about our team today training is being conducted by some other team trainer as a courtesy so do,ham,legit,0.3161,0.1538,novel_lt_0.9,Irrespective of shift timing this is mandatory for everyone
What is the status on your Laptop,ham,legit,0.5224,0.25,novel_lt_0.9,Laptop
"Tareekh pe tareekh ab aur nahi! Na slots na tokens, get groceries in 19 min with Dunzo Daily! Get up to 50% OFF & FREE delivery. dunzo.onelink.me/jWqC/Homepage",spam,unwanted,0.5503,0.3784,novel_lt_0.9,Dunzo Daily weekend offer: get 50% OFF & FREE home delivery in just 19 min! Get all your groceries for the next week easily. dunzo.onelink.me/jWqC/Home
BIGGEST OFFERS@VISHAL 18-19Sep Rs100 FREE SHOPPING-Use Code REBU1UUYSC + Atta 5kg Rs142 Ghee1L 409 TataTea 140OFF + FREE GIFT on Rs1000 TnC,spam,unwanted,0.1842,0.1538,novel_lt_0.9,MONTHLY SHOPPING@VISHAL MEGA MART TataTea1kg Rs 151OFF Sunflower Oil 135/L Colgate 500g 65OFF Tide 5kg 115OFF 2kgSugar FREE on 2500 TC
Hello! Bigg Boss OTT 2 ka winner kaun hoga? Dekhiye Grand Finale FREE mein only on JioCinema with Salman Khan http://1kx.in/XGtHmE0Qv2d,spam,unwanted,0.2417,0.2195,novel_lt_0.9,Hello! Iss saal ka sabse bada crime web series KAALKOOT is now streaming FREE only on JioCinema! Starring Vijay Varma & Shweta Tripathi http://1kx.in/XAc1NYtKK9m
I have sent bro,ham,legit,0.4596,0.4,novel_lt_0.9,Thank you bro
If the index drops tomorrow our PAYTM shares bought today should not be significantly affected,ham,legit,0.3505,0.1739,novel_lt_0.9,I bought 200 shares
Ready hu for learning,ham,legit,0.3058,0.1429,novel_lt_0.9,"It feels like returning to student days, learning a new skill from scratch"
"Congratulations! Airtel has launched its new store near you. Please walk in to explore our products postpaid and prepaid services, Mobile Internet Services, devices, Airtel money, DTH and more. To get",spam,unwanted,0.2443,0.1667,novel_lt_0.9,"Exclusive offer for Airtel prepaid customers like you! Gift an Airtel Prepaid SIM to your friends and family, and enjoy SIM delivery at no extra cost. To order, click i.airtel.in/prepaid50"
"FREE Rewards waiting! Get SunNxt movies,ZEE5, Voot Select shows, LaLiga football matches on MTV, 450+ TV channels & more on Vi Movies & TV!Click bit.ly/Vi-mv34",spam,unwanted,0.4332,0.3333,novel_lt_0.9,LaLiga is here! Watch LIVE football matches on Vi Movies & TV app! Kickstart your weekend with pure football magic! Click bit.ly/Vi-moviess1
"Verify the credentials of unknown callers, investment portals offering high returns and requests for urgent help for money received through Social Media. -RBI",spam,legit,0.3765,0.2059,novel_lt_0.9,"Do not click on unknown links offering cashback, attractive returns, quick loans, job offers or requests for money. -RBI"
""" There are several requirements that need to be met to turn pure technical analysis into money. The first and most important is to determine when a trend begins or ends. The key to making money is to",ham,legit,0.271,0.1636,novel_lt_0.9,Yes the trend is consistently upward After all we're making a profit
I don't really understand what you all are talking about. I just buy the stocks recommended by the professor. I'm too afraid to pick stocks on my own now,ham,legit,0.3906,0.2,novel_lt_0.9,I sold it and am now waiting for the stock recommended by the professor today
Hi team I successfully screwed up my sim so I need to get a new one tomorrow still it might take 24 hours to activate the nth mean time I am reachable on,ham,legit,0.2579,0.1707,novel_lt_0.9,Hi team tomorrow audit team
"Today is Friday, the last trading day of the week. Will the professor recommend any stocks today? It??????s been three days without making any trades",ham,legit,0.3763,0.1667,novel_lt_0.9,I sold it and am now waiting for the stock recommended by the professor today
Happy new year to all,ham,legit,1.0,1.0,near_dup_ge_0.9,Happy New Year to all
Don't miss out on FREE 2GB Data! Download and register on Airtel Thanks App today. T&C Claim now : i.airtel.in/2gb_rc3,spam,unwanted,0.5513,0.4815,novel_lt_0.9,You don't want to miss FREE 2GB data! Enjoy FREE 2GB data on selected Prepaid recharges. T&C. Check here NOW i.airtel.in/2gb_rc3
"Dear customer, Thank you for shopping with RnBIndia, Please click the link to view your e-bill https://rnb.karnival.in/az/rn6DsHhWp6QTcx?ch=1",spam,unwanted,0.724,0.9231,novel_lt_0.9,"Dear customer, Thank you for shopping with RnBIndia, Please click the link to view your e-bill https://rnb.karnival.in/az/rnPBIX1i0zKLaik5?ch=1"
Unlimited 5G data + 22 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/getprepaid7 T&C Apply.,spam,unwanted,0.9486,0.8,near_dup_ge_0.9,Unlimited 5G data + 17 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/getprepaid7
"FREE 2GB data for data lovers like you! Now get 2GB data on Airtel Thanks App, download now i.airtel.in/2gb_rc2",spam,unwanted,0.5374,0.4815,novel_lt_0.9,"1GB FREE DATA for data lovers like you! To avail the offer, visit Airtel Thanks App, TnC Apply i.airtel.in/FreeData1GB"
"50% Daily Data quota used as on 27-Aug-24 16:52 Hrs. Jio Number : 9019695140 Daily Data quota as per plan : 1.5 GB To know more on how to manage your account through MyJio app, click https://youtu.be/",spam,unwanted,0.9506,0.9167,near_dup_ge_0.9,"50% Daily Data quota used as on 27-Aug-24 16:06. Jio Number : 9019695140 Daily Data quota as per plan : 1.50 GB To know more on how to manage your account through MyJio app, click https://youtu.be/nkg"
Wishing everyone well????????,ham,legit,0.4248,0.2,novel_lt_0.9,Hi everyone
"Good News! Get 1year Disney+ Hotstar VIP subscription on your Vi prepaid with RC 601. Also get 3GB data/day + UL calls, Val 56 days. Click bit.ly/ViHotstar1",spam,unwanted,0.683,0.4615,novel_lt_0.9,"Ab 1 year Disney+ Hotstar VIP subscription pao apne Vi prepaid par Rs601 ke recharge se! Aur pao 3GB data/day + UL calls, Val 56 days. Click bit.ly/ViHotstar1"
I??????m looking forward to your performance even more after the competition starts.,ham,legit,0.7354,0.4118,novel_lt_0.9,Looking forward to the start of the competition and looking forward to your performance
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get 30 days of free trial of Amazon Prime Video Mobile Edition with your recharge, T&C apply.",spam,unwanted,0.9752,0.9762,near_dup_ge_0.9,"Enjoy Truly unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get 30 days of free trial of Amazon Prime Video Mobile Edition with your recharge, T&C "
The stock market will be closed tomorrow. I hope the stock market will perform well on Friday.,ham,legit,0.5431,0.3529,novel_lt_0.9,Isn't the market closed tomorrow.
"Hi Jithu, this Valentines Day gift both your loves - You & Your Bae #TWOTIMELOVE Click bit.ly/2M5FAI9 to find the perfect gift at the Shoppers Stop Sale with Upto 50% Off on your favorites from Watche",spam,unwanted,0.3612,0.3385,novel_lt_0.9,This Valentine Celebrate #TwoTimeLove as you show some love to your Bae & yourself with amazing Offers @ Shoppersstop BG ROAD. Call :080-43400467 shsp.in/T&C*
"MAHA CashBack Weekend Sale@SMART Point Store,B2G1 Parle Milano 250g,B2G1 CloseUp Red Paste 300g + Assured Extra 10% CashBack,Click bit.ly/384zM6D TC",spam,unwanted,0.2553,0.2439,novel_lt_0.9,"Weekend Deals @SMART Point Store,B2G1 Sunfeast Dark Fantasy 300g,Rs 56 OFF Colgate Tooth Paste 500g,Super Sarvaottam Oil 1l Rs 139,Click bit.ly/2w4Ridz T&C"
So you know it; *,ham,legit,0.3007,0.2857,novel_lt_0.9,Oh yes I know
Real estate and metals sectors remain relatively strong,ham,legit,0.2974,0.1667,novel_lt_0.9,Tech stocks and banking stocks remain key sectors for foreign investors to buy and sell
"Thank you for being a valued STYLE UNION customer. Hope you are happy with your purchase. To view your E-Receipt, Click http://bl1.in/DRwf5bhjaa STYLUN",spam,unwanted,0.1868,0.3235,novel_lt_0.9,Purchase completed Thank you for the notification
At 373,ham,legit,0.1827,0.3333,novel_lt_0.9,At 2
Show your touchpad,ham,legit,0.3188,0.1667,novel_lt_0.9,Get in touch with IT team
"Dear Customer, R&B-Dubai's Favourite Fashion Brand BLACK FRIDAY Sale is here! Avail FLAT 30% Off ON EVERYTHING from Nov 22-26. Click bit.ly/49lpShV. T&C.",spam,unwanted,0.3813,0.2553,novel_lt_0.9,"Dear Customer, R&B-Dubai's Favourite Fashion Brand now at Hennur Main Road, Opp McDonald's, Bengaluru. Get Free Duffle Bag worth 2999 on shopping for 3499. T&C."
"Watch exciting T20 matches everyday, LIVE on Disney+ Hotstar. Get 1 year Disney+ Hotstar mobile subscription with Vi''s 501 / 701 / 901 recharges. For details, click bit.ly/ViHotstar12",spam,unwanted,0.7259,0.4889,novel_lt_0.9,"Celebrate the stories you love on Disney+ Day. Watch Jungle Cruise, Shang-Chi, Special Ops 1.5 and many more, streaming NOW on Disney+ Hotstar. Get 1 year Disney+ Hotstar mobile subscription with Vi''"
It has already risen over 7% and reached our second target price,ham,legit,0.8456,0.5385,novel_lt_0.9,It has already reached the second target price
"Airtel Thanks Rewards for valuable customers like you! Enjoy exclusive rewards like Amazon Prime. Claim on Airtel Thanks App,TnC i.airtel.in/thanks-rewards",spam,unwanted,0.9675,0.9474,near_dup_ge_0.9,"FREE Airtel Thanks Rewards for valuable customers like you!Enjoy exclusive rewards like Amazon Prime. Claim on Airtel Thanks App,TnC i.airtel.in/thanks-rewards"
"Recently, the bank stocks have been quite weak and haven't shown any signs of improvement",ham,legit,0.3703,0.1905,novel_lt_0.9,"Recently, gold and platinum have risen quite a bit"
Good evening Mr Arvind Singh????????,ham,legit,0.7179,0.5714,novel_lt_0.9,Good evening Mr Arvind Singh
The stock market saw significant declines today. Could it be due to foreign investors taking profits and exiting,ham,legit,0.3624,0.2,novel_lt_0.9,Foreign investors tend to cash out at market highs
This can be considered the rebound phase after holding the support level,ham,legit,0.2319,0.16,novel_lt_0.9,The IT sector is set to start rebounding today
"Institutions are maintaining the market, while retail investors are destroying themselves",ham,legit,0.4097,0.1875,novel_lt_0.9,"?????? The trading volume increased, but the index did not continue to fall, which means that while retail investors were selling stocks, there must be institutional investors buying at low prices, an"
NOT CLAIMED your 1-year ZEE5 Premium subscription with your Vi recharge yet? Activate NOW at ZERO COST. Click bit.ly/ViZee5Offer & enter your Vi no. T&C Apply,spam,unwanted,0.9299,0.8214,near_dup_ge_0.9,You have NOT YET CLAIMED your 1-year ZEE5 Premium subscription with your Vi recharge. Activate NOW at ZERO COST. Click bit.ly/ViZee5Offer & enter your Vi no.
"Dear Customer, You have a missed call from +918431333249 The last missed call was at 03:42 PM on 15-Aug-2024 Thankyou, Team Jio.",spam,unwanted,0.654,0.7037,novel_lt_0.9,"Dear Customer, You have a missed call from +918062406779 The last missed call was at 05:14 PM on 20-Aug-2024 Thankyou, Team Jio."
""" In the stock market, specific stock actions are underway. The market showed a sideways consolidation before the long weekend ended. Since this week has a short weekend, there was not much volatility",ham,legit,0.3422,0.1491,novel_lt_0.9,The market closed flat all day today
"Indeed, understanding the characteristics and risks of various investment products is very important, but not all products need to be participated in",ham,legit,0.2876,0.2143,novel_lt_0.9,"The longer you spend time with it, the more you'll understand that diversification in investment products is beneficial. Knowing a bit about each won't hurt you"
I??????ll continue to hold not selling,ham,legit,0.5873,0.2727,novel_lt_0.9,I??????ll buy in now
"Hello! We are now on Whatsapp! For Best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance",spam,unwanted,0.9644,1.0,near_dup_ge_0.9,"Hello! We are now on Whatsapp! For balance, best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance"
You are alone from L1 today,ham,legit,0.5093,0.3571,novel_lt_0.9,"Ok Imtiyaz, try to join by 3, you are alone from L2 today"
Soumya are you using laptop or desktop?,ham,legit,0.3689,0.3636,novel_lt_0.9,Logged in with desktop now
"COUPON ALERT! Now get assured Rs100 coupon on your next recharge. Invite your friends to Airtel today & get rewarded, TnC. Click i.airtel.in/prepaid-referral",spam,unwanted,0.5907,0.4375,novel_lt_0.9,"Rs100 coupon is now yours! Refer a friend to join Airtel today & get Rs100 coupon on your next recharge, t&c. Click i.airtel.in/e/ReferralAOS2"
"Will connect back, having network issue",ham,legit,0.7408,0.5,novel_lt_0.9,Having network issue
"So please rest assured that everything is going according to my plan. Don't worry about not having the opportunity to make money. As long as we keep our capital, we will definitely seize the opportuni",ham,legit,0.3213,0.1765,novel_lt_0.9,A downturn is also a good buying opportunity
Subject line is ECL.. U CAN start fresh email with him for DAL,ham,legit,0.2685,0.1364,novel_lt_0.9,I will mail him now
"Hello! Thoda criminal thoda lawyer, ye hain super vakil Lakhan Leela Bhargava! Dekhiye ye courtroom drama JioCinema par bilkul free http://1kx.in/UpzymNL2kE3",spam,unwanted,0.1858,0.1429,novel_lt_0.9,Hello! Iss saal ka sabse bada crime web series KAALKOOT is now streaming FREE only on JioCinema! Starring Vijay Varma & Shweta Tripathi http://1kx.in/XAc1NYtKK9m
Temperature ?? n the motherboard ribbon cable has to be dissipated,ham,legit,0.3241,0.2105,novel_lt_0.9,If it still the temperature doesn't reduce
"The above is what I want to share tonight. Regarding the candlestick I shared recently, I will organize it into a file tomorrow so that everyone can learn and use it????????",ham,legit,0.296,0.2281,novel_lt_0.9,""" Tonight's Review Ends Here Since the professor is still in a meeting, there will be no course sharing tonight. However, the professor will share technical knowledge with everyone tomorrow evening at"
Mr. Arvind Singh I've sent you a message to schedule an appointment Please notify me this afternoon Thank you,ham,legit,0.4294,0.4286,novel_lt_0.9,I've already sent you a private message Mr.Arvind Singh
"Good evening, group members, I am Vijay bajaj??????????????????????????????????",ham,legit,0.2383,0.3,novel_lt_0.9,"Good evening, students in Bajaj Finserv's official group. I am Vijay bajaj, Bajaj Finserv's chief risk assessment expert."
"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",spam,unwanted,0.7608,0.7667,novel_lt_0.9,"As part of Special Campaign 3.0, CERT-In GOI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in"
Call me pls.. i m not able to reach you,ham,legit,0.2963,0.2857,novel_lt_0.9,I tried it's not reachable
The sector with the largest declines is likely still banking stocks,ham,legit,0.3648,0.2308,novel_lt_0.9,Today's decline in HDFC Bank not only affected the banking sector but also directly impacted the broader market
The July PCE inflation data might not be that favorable,ham,legit,0.2583,0.2667,novel_lt_0.9,Although it may not be that favorable the chances of a Fed rate cut in September are still quite high due to the rising unemployment rate
@334.50 Buy 150 shares,ham,legit,0.245,0.1429,novel_lt_0.9,I bought 200 shares
"As you predicted, it started to rise in the afternoon.",ham,legit,0.3846,0.3333,novel_lt_0.9,The market is starting to move in the direction you predicted.
"Missing out on uninterrupted music & trendiest songs? Grab Wynk Premium at just Rs49 and enjoy unlimited ad-free music, song downloads & hellotunes. Upgrade Now. Click here open.wynk.in/Getnow8",spam,unwanted,0.9277,0.931,near_dup_ge_0.9,"Missing out on uninterrupted music & trendiest songs? Grab Wynk Premium at just Rs49 and enjoy unlimited ad-free music, song downloads & hellotunes. Upgrade Now. Click here open.wynk.in/dc"
"Add my assistant Rama's WhatsApp, and she will notify you of the stock name and buying and selling points on time at 2",ham,legit,0.2736,0.1778,novel_lt_0.9,Got it thank you Assistant
How r u all,ham,legit,0.5105,0.4,novel_lt_0.9,How to get it
Good evening,ham,legit,0.8408,0.6667,novel_lt_0.9,Good evening sir
"50% ALERT: for your daily Data usage. Recharge with 118 get 12GB, validity as per the current pack. Click i.airtel.in/Rcharge",spam,unwanted,0.41,0.3947,novel_lt_0.9,"Don't let daily data limit interrupt your data experience. Now get 3GB+ FREE 2GB data for Rs58 with Airtel Thanks App, valid as per current pack validity. Recharge now i.airtel.in/OFFER8"
Could be some problem with o365,ham,legit,0.4867,0.25,novel_lt_0.9,Okay no problem
Tired of unwanted calls? Airtel Call Manager can block incoming calls from unwanted numbers. Click to explore the feature now! i.airtel.in/BlockedCalls,spam,unwanted,0.2138,0.2571,novel_lt_0.9,The person you were calling at 10:30 is now available to take calls. Click here to call them back i.airtel.in/RMCAAlrt
Team I sent out an email about mandatory courses to be completed please complete them on priority. Friday is last date and don??t wait till Friday as the server will be very busy those who are off shi,ham,legit,0.3787,0.1458,novel_lt_0.9,Team pls do complete mondatory courses... ASAP
Look what your Insider points can do! Convert your 449 points into a Rs.150 Myntra voucher Claim this & shop now @ Clearance Sale http://smsd.in/ZLxQwnmx,spam,unwanted,0.2604,0.1579,novel_lt_0.9,7 days left to save your Insider membership It was a pleasure having you as an Insider & we'd like that to continue Click to know more http://smsd.in/bl2mKc9UT
E2E is up again .... No pending orders today,ham,legit,0.3351,0.1667,novel_lt_0.9,"Pending buy order, waiting for gap"
Joined....,ham,legit,0.5673,1.0,novel_lt_0.9,Joined.
On mobile ur able to connect to outlook,ham,legit,0.3886,0.2222,novel_lt_0.9,Outlook for August 14
"1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days on Airtel Xstream Fiber + Rs 500 cashback. Switch to Airtel Black now, click i.airtel.in/blackPreDSL",spam,unwanted,0.9737,1.0,near_dup_ge_0.9,"Rs 500 cashback + 1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days on Airtel Xstream Fiber. Switch to Airtel Black now, click i.airtel.in/blackPreDSL"
Yes KK,ham,legit,0.7522,0.5,novel_lt_0.9,Yes
Is the stock price facing significant resistance and struggling to rise further?,ham,legit,0.2927,0.2222,novel_lt_0.9,This stock has the potential to make a significant profit
"Your plan for Jio no 9019695140 expires on 30-08-2024 .Avoid STOPPAGE of services,? RECHARGE Now Click www.jio.com/r/PVzNJWecV .For other plans, call 1991.",spam,unwanted,0.8508,0.9259,novel_lt_0.9,"Your plan for Jio no 9019695140 expires on 30-08-2024 .Avoid STOPPAGE of services,? RECHARGE Now Click www.jio.com/r/PU7Kdr3eN .For other plans, call 1991."
Priya Upabokthave! ee SMS Vi ninnum aanu njangalude network upayogicha thangalude anubhavathe kurich 3 chodyagal chodhikyaan agrahikunnu. Marupadi SMS free aayrikkum. - Vodafone Idea,spam,unwanted,0.1048,0.0588,novel_lt_0.9,Team i have network issue
"Having headache, cold and sneeze",ham,legit,0.2052,0.1667,novel_lt_0.9,Having network issue
Personal care is calling your name Shop with Extra Rs.600 Off + Free Shipping @ Myntra Diwali Sale Use code BEAUTYFIRST15 http://smsd.in/brzn6s7RV,spam,unwanted,0.3423,0.2195,novel_lt_0.9,End Of Reason Sale welcomes you with 50-80% Off Offer valid on beauty & personal care Extra 15% Off on 1st order! Buy now http://smsd.in/bgXG5qNst
"The current market performance is neutral, so please don't lose confidence?????",ham,legit,0.3047,0.2273,novel_lt_0.9,I look forward to your performance
Have you tried Dunzo Daily yet? Enjoy up to 50% OFF on a wide range of groceries with FREE delivery in 19 min. T&C apply. https://dunzo.onelink.me/jWqC/home,spam,unwanted,0.6547,0.3333,novel_lt_0.9,Dunzo Daily weekend offer: get 50% OFF & FREE home delivery in just 19 min! Get all your groceries for the next week easily. dunzo.onelink.me/jWqC/Home
"Hi team , today I will join at 3",ham,legit,0.7058,0.5455,novel_lt_0.9,Hi Team I will join late by 30 min today .
When there's no major news the trend is usually reliable,ham,legit,0.3226,0.2174,novel_lt_0.9,Major trends have longer time periods like the Indian stock market right now where rising is the major trend.
Surprisingly it was Reliance Industries that fell the most,ham,legit,0.2865,0.2,novel_lt_0.9,Surprisingly all are admins except I ???????? is there any reason for that ?
Because the market is really too tense right now,ham,legit,0.2577,0.2381,novel_lt_0.9,Because it??s third time you are asking
"Pack on 8089XXX424 will expire soon! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day, UL calls for 84 days at Rs719. i.airtel.in/RCHKER",spam,unwanted,0.6387,0.625,novel_lt_0.9,"Alert for 8089XXX424 ! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day + Free 500MB/day, UL calls for 28 days at Rs299. i.airtel.in/RechargeNow"
I??????ve already sent you a private message Thanks for the notification,ham,legit,0.833,0.6923,novel_lt_0.9,I??????ve already sent you a private message Thank you
"Hi team ,",ham,legit,0.9151,1.0,near_dup_ge_0.9,Hi Team
Your favourite MUSIC is now on Vi app. Enjoy ad-free music & unlimited downloads at NO extra cost with Hungama Music on Vi app. https://bit.ly/3DaqXHX,spam,unwanted,0.4183,0.2791,novel_lt_0.9,"Athmave Poo is now on Wynk Music App. Don't miss out on Ad-free HD music with over 15 Mn songs, unlimited hellotunes & downloads with your Wynk Premium Subscription. Download today https://open.wynk.i"
Yes Kk,ham,legit,0.7522,0.5,novel_lt_0.9,Yes
Exclusive Offer For You!! Extra 15% OFF on Your First Purchase on Select Fashion. Shop Now > http://fkrt.it/ojWHTbuuuN,spam,unwanted,0.2332,0.2162,novel_lt_0.9,"Dear Customer, Exclusive Offer! Get 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Apply now for a Rs.1000* Gift Card> http://fkrt.it/Y4frc9NNNN"
"Some newcomers will complain, get angry or even disappointed in the group, which I understand very well. Because losses always make people lose their rationality and observation.",ham,legit,0.1806,0.1458,novel_lt_0.9,"Many people don??????t understand the current market, especially when they see their accounts turn red, they have already lost confidence."
@512.90 purchase 100 shares,ham,legit,0.2661,0.125,novel_lt_0.9,Purchase completed Thank you for the notification
""" Several standard rules have been developed regarding trendlines. One of these rules is that the longer and more often price touches a plotted trendline, the more important it is when the trendline i",ham,legit,0.2324,0.1538,novel_lt_0.9,"The underlying logic of the DIF (Difference) is that the short-term Exponential Moving Average (EMA) reflects the current price trend, while the long-term EMA reflects earlier price trends. Therefore,"
