text,true_label,W_pred,W_conf,W_p_unwanted,A_pred,A_conf,A_p_unwanted,p_unwanted_gap,category,conf_margin
Congratulations! Your smartphone deserves a 5G ready network. Order Airtel prepaid SIM online & get it delivered at home at no extra cost Click i.airtel.in/awj,unwanted,legit,0.8483,0.1517,unwanted,0.9822,0.9822,0.8306,miss_catch_correct,0.1339
Don't miss out on unlimited entertainment with unlimited Wi-Fi! Get up to 1 Gbps speeds & 15+ OTTs with Airtel Xstream Fiber. Plans starting at just Rs 699! Book today & get a FREE router. i.airtel.in/Exclusiveoffer,unwanted,legit,0.8611,0.1389,unwanted,0.9947,0.9947,0.8559,miss_catch_correct,0.1336
Y0u have receive a B0nus of Rs.51OOO/- in Y0ur wallet A/count no XX11 0n 26-O8-2O24. M0ve to Y0ur Bank A/c OI1.in/2rn2ds!8cpr814,unwanted,legit,0.5879,0.4121,unwanted,0.719,0.719,0.3069,miss_catch_correct,0.1311
"Biggest BhaiDuj Offers @VISHAL 55%OFF-Soan Papdi,Dry Fruit,Mithai 25%OFF-Cadbury Gift Pack + FREE-VIP Trolley,DuffleBag + 7.5% SBI Cashback",unwanted,legit,0.8014,0.1986,unwanted,0.9308,0.9308,0.7322,miss_catch_correct,0.1294
Don't miss out on FREE 2GB Data! Download and register on Airtel Thanks App today. T&C Claim now : i.airtel.in/2gb_rc14,unwanted,legit,0.8616,0.1384,unwanted,0.9907,0.9907,0.8522,miss_catch_correct,0.1291
"Buy 1, Get 1 FREE at UNLIMITED Fashion Stores. Get extra 10% Cashback with HDFC cards Watch collection bit.ly/3in3oVe TnC",unwanted,legit,0.8487,0.1513,unwanted,0.9752,0.9752,0.8239,miss_catch_correct,0.1265
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 41/Kg,Sweet Corn Rs 8/Pc,Banana Robusta Box (6Pc) Rs 29,Also at SMART &SMART Point store bit.ly/3ESiOJm 10Nov,TC",unwanted,legit,0.8663,0.1337,unwanted,0.9896,0.9896,0.856,miss_catch_correct,0.1233
"Anjaam Pathiraa, Uriyadi, Bigil, Kakshi: Amminippilla, Manorama News, LaLiga football matches on MTV & more on Vi Movies & TV app!Click bit.ly/Vi-mv34",unwanted,legit,0.8708,0.1292,unwanted,0.9888,0.9888,0.8596,miss_catch_correct,0.118
Don't miss out on FREE 2GB Data! Download and register on Airtel Thanks App today. T&C Claim now : i.airtel.in/2gb_rc3,unwanted,legit,0.8724,0.1276,unwanted,0.9902,0.9902,0.8625,miss_catch_correct,0.1178
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 29/Kg,Pear Indian Rs 89/Kg,Cabbage Rs 12/Pc,Also at SMART &SMART Point store bit.ly/3yk4kiC 4Aug,TC",unwanted,legit,0.8701,0.1299,unwanted,0.9878,0.9878,0.8579,miss_catch_correct,0.1177
"FREE 2GB data for data lovers like you! Now get 2GB data on Airtel Thanks App, download now i.airtel.in/2gb_rc2",unwanted,legit,0.8584,0.1416,unwanted,0.9663,0.9663,0.8248,miss_catch_correct,0.1079
KITE Victers - Study from home with this educational channel on Vi Movies & TV app. Click now - bit.ly/Vi-kite1,unwanted,legit,0.8621,0.1379,unwanted,0.9697,0.9697,0.8318,miss_catch_correct,0.1076
Tired of unwanted calls? Airtel Call Manager can block incoming calls from unwanted numbers. Click to explore the feature now! i.airtel.in/BlockedCalls,unwanted,legit,0.8351,0.1649,unwanted,0.942,0.942,0.777,miss_catch_correct,0.1069
"Premium movies only for you! Watch Oru Adaar Love, Anjaam Pathiraa, Solo, Kakshi: Amminippilla, Manorama news & more on Vi Movies & TV app! Click bit.ly/Vi-mv34",unwanted,legit,0.881,0.119,unwanted,0.9878,0.9878,0.8688,miss_catch_correct,0.1068
Watch the India vs Srilanka series LIVE on Sonyliv with Airtel Xstream Play. Click to watch - open.airtelxstream.in/Cheer_for_India,unwanted,legit,0.8816,0.1184,unwanted,0.9847,0.9847,0.8662,miss_catch_correct,0.1031
The person you were calling at 19:10 is now available to take calls. Click here to call them back i.airtel.in/RMCAAlrt,unwanted,legit,0.8929,0.1071,unwanted,0.9911,0.9911,0.884,miss_catch_correct,0.0982
"WE @Max Fashion MISS YOU! Here's 10% OFF JUST FOR YOU to celebrate the festivities in style! Offer valid on ALL Max Products Code: 2GPYY2C Till: 8, Apr TnC",unwanted,legit,0.7668,0.2332,unwanted,0.8613,0.8613,0.6281,miss_catch_correct,0.0945
GREAT VALUE DATA PACK! Now get 1GB data with Rs19 Airtel pack. Valid for 1 day. Recharge now i.airtel.in/OFFER4,unwanted,legit,0.851,0.149,unwanted,0.9446,0.9446,0.7956,miss_catch_correct,0.0936
Don't miss out on Airtel Thanks App benefits with your existing pack/plan at no extra cost! Claim on Airtel Thanks App today i.airtel.in/app_benefits8,unwanted,legit,0.902,0.098,unwanted,0.991,0.991,0.8931,miss_catch_correct,0.089
FLAT Rs20 CASHBACK for smart savers like you! Available on first 3 UPI transactions only on Airtel Thanks App. Click i.airtel.in/get_Rs20,unwanted,legit,0.9066,0.0934,unwanted,0.9942,0.9942,0.9007,miss_catch_correct,0.0876
"Durga Puja Special Offer@SMART Point Store,BOGO Bikaji Gulab Jamun 1Kg,B2G1 Bingo Potato Chilli Chip 60g,Good Life Mix Dry Fruits 500g Rs 279, bit.ly/3cbREQe TC",unwanted,legit,0.8643,0.1357,unwanted,0.9396,0.9396,0.8039,miss_catch_correct,0.0753
Lockdown in Kerala- Get all LIVE updates with Manorama News on Vi Movies & TV app. Click bit.ly/Vi-newsm2,unwanted,legit,0.9189,0.0811,unwanted,0.9932,0.9932,0.9121,miss_catch_correct,0.0743
Get ready for Sunday with a brunch look that has been inspired by actress Nia Sharma bit.ly/PS_Sun Click bit.ly/SSPS_AB to book a Personal Shopper appointment,unwanted,legit,0.9038,0.0962,unwanted,0.9755,0.9755,0.8793,miss_catch_correct,0.0717
Buy1 Get1 FREE with Lenskart Gold Membership this Valentine & 14% Cashback on all orders. Explore the most LOVED & TRENDING Styles!TnC App lskt.me/valentine,unwanted,legit,0.8761,0.1239,unwanted,0.9471,0.9471,0.8232,miss_catch_correct,0.071
The person you were calling at 15:16 is now available to take calls. Click here to call them back i.airtel.in/RMCAAlrt,unwanted,legit,0.9229,0.0771,unwanted,0.9916,0.9916,0.9145,miss_catch_correct,0.0687
Don't manage with just 2GB data. Get unlimited data for 1 day at just Rs.39. Click i.airtel.in/39dt,unwanted,legit,0.9224,0.0776,unwanted,0.9866,0.9866,0.9089,miss_catch_correct,0.0642
Tired of calling someone & they are continuously unreachable? Now get notified as soon as they are available to take calls ONLY on Airtel Thanks app. Click i.airtel.in/RMCA_air,unwanted,legit,0.9107,0.0893,unwanted,0.9719,0.9719,0.8826,miss_catch_correct,0.0612
Introducing Airtel Xsafe! A smart home surveillance solution with Wi-Fi-based security cameras. Order now & get FREE expert consultation and installation. i.airtel.in/SafePre1,unwanted,legit,0.7782,0.2218,unwanted,0.8356,0.8356,0.6138,miss_catch_correct,0.0574
"Eid Mubarak! Stay home, stay safe & enjoy blockbuster movies, live TV shows, news, web-series all on Vi Movies & TV app! Just click bit.ly/Vi-moviess",unwanted,legit,0.9194,0.0806,unwanted,0.976,0.976,0.8954,miss_catch_correct,0.0566
Check if your smartphone is 5G-ready on Airtel Thanks App. Click i.airtel.in/e/5G_airtel,unwanted,legit,0.9409,0.0591,unwanted,0.9927,0.9927,0.9336,miss_catch_correct,0.0518
"Airtel Thanks Rewards for valuable customers like you! Enjoy exclusive rewards like Amazon Prime. Claim on Airtel Thanks App,TnC i.airtel.in/thanks-rewards",unwanted,legit,0.935,0.065,unwanted,0.953,0.953,0.888,miss_catch_correct,0.018
"?????! 1 ?????? ?? DD FREEDISH ?? Star Utsav, Sony Pal, Zee Anmol ?? Colors Rishtey ?????? ???? ?????? ?? ?????? ?? ?????? DTH ?? ?????? ??? ????? ???? i.airtel.in/DTHsaver",unwanted,legit,0.8474,0.1526,unwanted,0.8577,0.8577,0.7051,miss_catch_correct,0.0103
Don't click on suspicious link or download App that promises fake part/full time jobs.,unwanted,legit,0.9226,0.0774,unwanted,0.8826,0.8826,0.8052,miss_catch_correct,-0.04
